Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/11/2025,11/11/2025,AUTOMATIC PAYMENT - THANK,,Payment,308.82,
11/08/2025,11/09/2025,PP*SPOTIFY*P3C3700EDA,Bills & Utilities,Sale,-12.98,
11/08/2025,11/09/2025,AMAZON PRIME*BT14S6VK1,Bills & Utilities,Sale,-7.57,
11/02/2025,11/02/2025,Amazon.com*NK0VS3HX0,Shopping,Sale,-17.29,
10/31/2025,10/31/2025,AMAZON MKTPL*NK9QW5NE1,Shopping,Sale,-16.23,
10/27/2025,10/28/2025,Amazon.com*N43MA3DE0,Shopping,Sale,-16.38,
10/27/2025,10/28/2025,Amazon.com*N42AM4OY2,Shopping,Sale,-8.65,
10/17/2025,10/17/2025,AMAZON MKTPL*NM5F57751,Shopping,Sale,-15.14,
10/15/2025,10/15/2025,AMAZON MKTPL*NM17I8GW1,Shopping,Sale,-14.99,
10/10/2025,10/12/2025,Prime Video *NF9FC26O1,Shopping,Sale,-4.10,
10/10/2025,10/10/2025,AUTOMATIC PAYMENT - THANK,,Payment,439.50,
10/10/2025,10/10/2025,AMZN Mktp US*NF8LL2MG1,Shopping,Sale,-33.34,
10/08/2025,10/08/2025,AMAZON PRIME*NF89J8X70,Bills & Utilities,Sale,-7.57,
10/08/2025,10/08/2025,PP*SPOTIFY*P3B49E8F9E,Bills & Utilities,Sale,-6.48,
10/06/2025,10/07/2025,PAYPAL *ALIPAYUSINC,Shopping,Sale,-35.31,
10/03/2025,10/03/2025,AMZN Mktp US*NV7RK4481,Shopping,Sale,-24.84,
10/01/2025,10/02/2025,PAYPAL *ALIPAYUSINC,Shopping,Sale,-42.28,
09/29/2025,09/30/2025,Amazon.com*NJ8NJ5101,Shopping,Sale,-14.06,
09/25/2025,09/25/2025,PAYPAL *ALIPAYUSINC,Shopping,Sale,-18.95,
09/23/2025,09/24/2025,PAYPAL *SPIE,Gifts & Donations,Sale,-20.00,
09/22/2025,09/22/2025,Amazon.com*1Y8OU1CK3,Shopping,Sale,-17.94,
09/19/2025,09/21/2025,PAYPAL *ALIPAYUSINC,Shopping,Sale,-23.85,
09/20/2025,09/21/2025,Amazon.com*RM2YH9ZO3,Shopping,Sale,-16.23,
09/18/2025,09/18/2025,AMAZON MKTPL*F53MG3173,Shopping,Sale,-14.22,
09/16/2025,09/16/2025,AMZN Mktp US*RE9DP4HA3,Shopping,Sale,-5.46,
09/15/2025,09/15/2025,AMAZON MKTPL*BN32R8VH3,Shopping,Sale,-11.88,
09/15/2025,09/15/2025,Amazon.com*FJ5M62523,Shopping,Sale,-12.31,
09/14/2025,09/14/2025,PAYPAL *ALIPAYUSINC,Shopping,Sale,-10.50,
09/13/2025,09/14/2025,AMZN Mktp US*W43Q64XE3,Shopping,Sale,-34.19,
09/12/2025,09/14/2025,PAYPAL *ALIPAYUSINC,Shopping,Return,2.99,
09/11/2025,09/11/2025,AUTOMATIC PAYMENT - THANK,,Payment,247.92,
09/09/2025,09/09/2025,AMZN Mktp US*2I1BP3HC3,Shopping,Sale,-39.50,
09/08/2025,09/08/2025,AMZN Mktp US*CI7WQ81Q3,Shopping,Sale,-10.14,
09/08/2025,09/08/2025,AMZN Mktp US*QD0IV52W3,Shopping,Sale,-21.42,
09/08/2025,09/08/2025,PP*SPOTIFY*P3A536E269,Bills & Utilities,Sale,-6.48,
09/08/2025,09/08/2025,AMAZON PRIME*JO7KS3X63,Bills & Utilities,Sale,-7.57,
09/04/2025,09/04/2025,AMZN Mktp US*TV7AX8IZ3,Shopping,Sale,-19.99,
09/01/2025,09/02/2025,AMZN Mktp US*WA6Z68II3,Shopping,Sale,-47.03,
08/31/2025,09/01/2025,AMAZON MKTPL*1961P8PL3,Shopping,Sale,-34.64,
08/30/2025,08/31/2025,AMAZON MKTPL*E65PI7ZX3,Shopping,Sale,-34.59,
08/29/2025,08/31/2025,AMAZON MKTPL*Y28O83IG3,Shopping,Sale,-33.01,
08/26/2025,08/27/2025,PAYPAL *ALIPAYUSINC,Shopping,Sale,-24.17,
08/26/2025,08/27/2025,PAYPAL *ALIPAYUSINC,Shopping,Sale,-33.73,
08/25/2025,08/26/2025,PAYPAL *NAMECHEAP,Bills & Utilities,Sale,-29.18,
08/21/2025,08/22/2025,AMZN Mktp US*3R2NF69Q3,Shopping,Sale,-26.96,
08/19/2025,08/20/2025,AMAZON MKTPLACE PMTS,Shopping,Return,21.65,
08/18/2025,08/19/2025,AMZN Mktp US*VG7KM2MQ3,Shopping,Sale,-17.49,
08/17/2025,08/18/2025,AMZN Mktp US*Q57ZB6WU3,Shopping,Sale,-11.90,
08/14/2025,08/14/2025,AMZN Mktp US*EO3Y04EG3,Shopping,Sale,-28.20,
08/11/2025,08/11/2025,AUTOMATIC PAYMENT - THANK,,Payment,220.22,
08/10/2025,08/10/2025,Amazon.com*OI3Q14BA3,Shopping,Sale,-19.51,
08/08/2025,08/08/2025,PP*SPOTIFY*P39550FD98,Bills & Utilities,Sale,-6.48,
08/08/2025,08/08/2025,AMAZON PRIME*YC4JY1483,Bills & Utilities,Sale,-7.57,
08/05/2025,08/05/2025,Amazon.com*FX0K470V3,Shopping,Sale,-10.15,
08/04/2025,08/05/2025,AMAZON MKTPL*8M9H98CV3,Shopping,Sale,-15.22,
08/05/2025,08/05/2025,Amazon Tips*9I4ZG65S3,Shopping,Sale,-1.00,
08/01/2025,08/03/2025,AMAZON MKTPL*JO1QL16C3,Shopping,Sale,-7.03,
08/01/2025,08/03/2025,Amazon.com*7N7JT82F3,Shopping,Sale,-22.72,
08/01/2025,08/03/2025,AMZN Mktp US*OA4X86VE3,Shopping,Sale,-28.13,
08/01/2025,08/01/2025,AMAZON MKTPL*764N07JP3,Shopping,Sale,-30.26,
